2024-07-14 09:41:30 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-07-14 09:41:41 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 14960, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-07-14 09:41:41 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu.dll'

2024-07-16 21:00:42 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-07-16 21:00:44 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16268, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-07-16 21:00:44 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu.dll'
2024-07-16 21:00:46 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16268, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-07-16 21:00:46 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu.dll'
2024-07-16 21:00:46 *ERROR*      Failed to inject image using default injection, status: 0xC000010E
2024-07-16 21:00:46 *ERROR*      Failed to inject image 'C:\Users\Administrator\Desktop\Yim\YimMenu.dll'.
Error code 0xC000010E
2024-07-16 21:00:56 *NORMAL*     Image 'C:\Users\Administrator\Desktop\Yim\YimMenu.dll' is already in the list
2024-07-16 21:01:02 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16268, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-07-16 21:01:02 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu.dll'
2024-07-16 21:01:02 *ERROR*      Failed to inject image using default injection, status: 0xC000010E
2024-07-16 21:01:02 *ERROR*      Failed to inject image 'C:\Users\Administrator\Desktop\Yim\YimMenu.dll'.
Error code 0xC000010E

2024-07-16 21:03:33 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-07-16 21:03:38 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16268, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-07-16 21:03:38 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\YimMenu (1).dll'

